preference_key,movie_title,star_cast,rating,year,place,vote,link
3,"Rebeca, una mujer inolvidable","Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine",8.022870268193202,1940,231,,/title/tt0032976/
4,Viacrucis,"John Ford (dir.), Henry Fonda, Jane Darwell",8.02242459351423,1940,232,,/title/tt0032551/
1,Siempre a tu lado,"Lasse Hallström (dir.), Richard Gere, Joan Allen",8.02186677960536,2009,233,,/title/tt1028532/
2,La leyenda del indomable,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy",8.021642843997567,1967,234,,/title/tt0061512/
3,Amores perros,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal",8.021216474123191,2000,235,,/title/tt0245712/
4,Piratas del Caribe - La maldición del Perla Negra,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush",8.017793254531052,2003,236,,/title/tt0325980/
1,Dersu Uzala,"Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin",8.01674235997438,1975,237,,/title/tt0071411/
2,Los 400 golpes,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy",8.016416618645136,1959,238,,/title/tt0053198/
3,La haine,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé",8.01599319451207,1995,239,,/title/tt0113247/
4,El pecado compartido,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann",8.015934791789366,1966,240,,/title/tt0060827/
1,Babam ve Oglum,"Cagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan",8.01558945035308,2005,241,,/title/tt0476735/
2,La vida de Brian,"Terry Jones (dir.), Graham Chapman, John Cleese",8.015110211988793,1979,242,,/title/tt0079470/
3,La novicia rebelde,"Robert Wise (dir.), Julie Andrews, Christopher Plummer",8.013744807624066,1965,243,,/title/tt0059742/
4,Sucedió una noche,"Frank Capra (dir.), Clark Gable, Claudette Colbert",8.013602895793202,1934,244,,/title/tt0025316/
1,The Handmaiden,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo",8.0092455756046,2016,245,,/title/tt4016934/
2,Gandhi,"Richard Attenborough (dir.), Ben Kingsley, John Gielgud",8.00712039589746,1982,246,,/title/tt0083987/
3,Aladdín,"Ron Clements (dir.), Scott Weinger, Robin Williams",8.007079557571359,1992,247,,/title/tt0103639/
4,Historias cruzadas,"Tate Taylor (dir.), Emma Stone, Viola Davis",8.004892429218165,2011,248,,/title/tt1454029/
1,La bella y la bestia,"Gary Trousdale (dir.), Paige O'Hara, Robby Benson",8.003474531804313,1991,249,,/title/tt0101414/
2,Danza con lobos,"Kevin Costner (dir.), Kevin Costner, Mary McDonnell",8.00180390300051,1990,250,,/title/tt0099348/
